--------- beginning of main
05-18 06:15:48.024  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module etm is unavailable
05-18 06:15:48.025  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module etq is unavailable
05-18 06:15:48.031  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module mlv is unavailable
05-18 06:15:48.033  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module mjm is unavailable
05-18 06:15:48.035  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module jnf is unavailable
05-18 06:15:48.036  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fuo is unavailable
05-18 06:15:48.036  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module fur is unavailable
05-18 06:15:48.036  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module kyf is unavailable
05-18 06:15:48.036  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=0, callback=ffo@9afbc93, lastModifier=0, keyCodes=[57, 57], actions=[1, 0]}
05-18 06:15:48.036  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=0, callback=ffo@2876fce, lastModifier=0, keyCodes=[58, 58], actions=[1, 0]}
05-18 06:15:48.037  7281  7281 I AbstractOpenableExtension: AbstractOpenableExtension.maybeDestroyExistingKeyboardGroupManager():537 Destroy existing keyboard group manager in fvs
05-18 06:15:48.037  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module IEmojiSearchExtension is unavailable
05-18 06:15:48.042  7281  7281 W NotificationCenter: NotificationCenter$NotificationQueue.notifyPendingNotificationsOnExecutor():877 Heavy notify work detected on UI thread: [kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, kmv->lmd, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, ips->lmd, ips->lmd, ips->lmd, ips->lmd, ips->lmd, ips->lmd, ips->lmd, ips->lmd, ips->lmd, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip, liq->lip] takes 89ms
05-18 06:15:48.045  7281  7281 I GoogleInputMethodService: GoogleInputMethodService.onDestroy():922 Maybe update OEM display config because of service destruction
